Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 00:00,2026,1,1,00:00,,-10.1,,-16.6,,59,,,,32,,27,,24.1,,98.17,,,,-19,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 01:00,2026,1,1,01:00,,-10.7,,-16.9,,61,,,,32,,28,,24.1,,98.26,,,,-20,,Clear
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 02:00,2026,1,1,02:00,,-10.8,,-18.6,,53,,,,33,,17,,24.1,,98.39,,,,-18,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 03:00,2026,1,1,03:00,,-10.8,,-19.8,,48,,,,30,,31,,24.1,,98.49,,,,-21,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 04:00,2026,1,1,04:00,,-12.6,,-18.8,,60,,,,27,,22,,24.1,,98.57,,,,-22,,Clear
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 05:00,2026,1,1,05:00,,-13.6,,-18.8,,66,,,,27,,22,,24.1,,98.63,,,,-23,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 06:00,2026,1,1,06:00,,-13.7,,-18.6,,67,,,,28,,19,,24.1,,98.73,,,,-22,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 07:00,2026,1,1,07:00,,-14,,-18.8,,67,,,,27,,18,,24.1,,98.84,,,,-22,,Clear
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 08:00,2026,1,1,08:00,,-13.6,,-18.6,,66,,,,32,,21,,24.1,,98.84,,,,-23,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 09:00,2026,1,1,09:00,,-12.3,,-20.1,,53,,,,32,,23,,24.1,,98.88,,,,-21,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 10:00,2026,1,1,10:00,,-11.4,,-17.9,,59,,,,24,,16,,24.1,,98.99,,,,-19,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 11:00,2026,1,1,11:00,,-10.9,,-16.9,,61,,,,25,,17,,24.1,,99.04,,,,-18,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 12:00,2026,1,1,12:00,,-9.9,,-15.5,,64,,,,25,,20,,24.1,,98.99,,,,-18,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 13:00,2026,1,1,13:00,,-8.3,,-14.1,,63,,,,26,,13,,24.1,,98.89,,,,-14,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 14:00,2026,1,1,14:00,,-7,,-14.9,,54,,,,28,,31,,19.3,,98.82,,,,-16,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 15:00,2026,1,1,15:00,,-7.8,,-11.9,,73,,,,27,,17,,16.1,,98.8,,,,-14,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 16:00,2026,1,1,16:00,,-7.9,,-13.4,,65,,,,26,,39,,16.1,,98.83,,,,-18,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 17:00,2026,1,1,17:00,,-8.6,,-13.2,,69,,,,25,,26,,24.1,,98.84,,,,-17,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 18:00,2026,1,1,18:00,,-8.9,,-13.1,,72,,,,25,,27,,12.9,,98.84,,,,-18,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 19:00,2026,1,1,19:00,,-9.3,,-13.1,,74,,,,25,,30,,11.3,,98.81,,,,-19,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 20:00,2026,1,1,20:00,,-9.5,,-13.7,,72,,,,23,,25,,12.9,,98.76,,,,-18,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 21:00,2026,1,1,21:00,,-9.4,,-13.5,,72,,,,24,,26,,16.1,,98.71,,,,-18,,NA
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 22:00,2026,1,1,22:00,,-9.5,,-13.1,,75,,,,22,,16,,12.9,,98.67,,,,-16,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,01-01-2026 23:00,2026,1,1,23:00,,-9.4,,-12.8,,76,,,,23,,18,,12.9,,98.63,,,,-17,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 00:00,2026,1,2,00:00,,-9.1,,-12.7,,75,,,,24,,22,,16.1,,98.58,,,,-17,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 01:00,2026,1,2,01:00,,-8.7,,-12.2,,76,,,,24,,24,,24.1,,98.54,,,,-17,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 02:00,2026,1,2,02:00,,-8.3,,-11.8,,76,,,,24,,18,,24.1,,98.51,,,,-15,,NA
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 03:00,2026,1,2,03:00,,-8.1,,-11.5,,77,,,,25,,26,,24.1,,98.47,,,,-16,,NA
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 04:00,2026,1,2,04:00,,-8,,-11.3,,77,,,,24,,26,,24.1,,98.42,,,,-16,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 05:00,2026,1,2,05:00,,-7.9,,-11.4,,76,,,,24,,28,,19.3,,98.38,,,,-17,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 06:00,2026,1,2,06:00,,-7.7,,-11.1,,76,,,,24,,21,,24.1,,98.41,,,,-15,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,02-01-2026 07:00,2026,1,2,07:00,,-7.5,,-10.9,,77,,,,25,,25,,19.3,,98.46,,,,-16,,Mostly Cloudy
